parent_foodcode,parent_desc,ingred_code1,ingred_desc1,ingred_wt1,ingred_code2,ingred_desc2,ingred_wt2,ingred_code3,ingred_desc3,ingred_wt3,ingred_code4,ingred_desc4,ingred_wt4
14640048.0,"Cheese sandwich, reduced fat Cheddar cheese, on whole wheat bread, with mayonnaise",99995130.0,Wheat bread as ingredient in sandwiches,60.0,18967.0,"Bread, white wheat",5.0,,,,,,
14640048.0,"Cheese sandwich, reduced fat Cheddar cheese, on whole wheat bread, with mayonnaise",99995130.0,Wheat bread as ingredient in sandwiches,60.0,18060.0,"Bread, rye",5.0,,,,,,
14640052.0,"Cheese sandwich, American cheese, on wheat bread, with butter",99995130.0,Wheat bread as ingredient in sandwiches,60.0,18064.0,"Bread, wheat",45.0,,,,,,
14640052.0,"Cheese sandwich, American cheese, on wheat bread, with butter",99995130.0,Wheat bread as ingredient in sandwiches,60.0,18075.0,"Bread, whole-wheat, commercially prepared",35.0,,,,,,
14640052.0,"Cheese sandwich, American cheese, on wheat bread, with butter",99995130.0,Wheat bread as ingredient in sandwiches,60.0,28397.0,"Bread, multi-grain (includes whole-grain)",10.0,,,,,,
14640052.0,"Cheese sandwich, American cheese, on wheat bread, with butter",99995130.0,Wheat bread as ingredient in sandwiches,60.0,18967.0,"Bread, white wheat",5.0,,,,,,
14640052.0,"Cheese sandwich, American cheese, on wheat bread, with butter",99995130.0,Wheat bread as ingredient in sandwiches,60.0,18060.0,"Bread, rye",5.0,,,,,,
14640054.0,"Cheese sandwich, American cheese, on whole wheat bread, with butter",99995130.0,Wheat bread as ingredient in sandwiches,60.0,18064.0,"Bread, wheat",45.0,,,,,,
14640054.0,"Cheese sandwich, American cheese, on whole wheat bread, with butter",99995130.0,Wheat bread as ingredient in sandwiches,60.0,18075.0,"Bread, whole-wheat, commercially prepared",35.0,,,,,,
14640054.0,"Cheese sandwich, American cheese, on whole wheat bread, with butter",99995130.0,Wheat bread as ingredient in sandwiches,60.0,28397.0,"Bread, multi-grain (includes whole-grain)",10.0,,,,,,
